Марка,Продано в сентябре 2015,Продано за 9 мес. 2015 года,Рост продаж в сентябре
Toyota,703.167,6.253.131,1,0%
Ford,543.342,4.528.378,8,7%
Volkswagen,540.306,4.786.738,-2,7%
Hyundai,417.191,3.522.796,1,8%
Honda,401.960,3.255.614,12,2%
Chevrolet,359.608,3.213.675,-6,5%
Nissan,354.751,3.507.197,-9,4%
Kia,250.005,2.142.336,2,4%
Mercedes,197.313,1.520.086,14,6%
Peugeot,188.252,1.454.368,1,5%
BMW,178.658,1.431.963,6,6%
Renault,176.101,1.501.172,-1,0%
Audi,173.356,1.358.794,8,6%
Mazda,144.172,1.146.321,14,4%
Suzuki,135.157,1.130.144,-8,7%
Fiat,134.150,1.205.027,-15,3%
Buick,118.151,870.267,14,2%
Wuling,115.968,1.123.870,-14,8%
Maruti,114.890,1.021.517,6,3%
Opel,114.492,852.905,4,8%
Jeep,112.632,925.947,33,9%
ChangAn,110.070,985.385,5,4%
Citroen,109.696,900.933,-3,4%
Skoda,93.506,789.438,0,6%
Mitsubishi,91.405,764.682,-13,3%
Subaru,87.689,717.923,11,0%
Daihatsu,71.885,616.829,-9,2%
Great Wall,67.879,615.001,178,3%
GMC,58.347,500.928,19,9%
Dongfeng,57.535,544.539,-8,8%
Dodge,57.010,493.932,1,6%
Geely,52.799,410.007,13,6%
Haval (Great Wall),52.081,449.404,33,4%
Ram,50.776,450.103,10,1%
Lexus,49.254,462.565,5,9%
Baojun,48.059,322.460,88,0%
Volvo,47.452,352.398,8,5%
Isuzu,45.811,380.742,13,7%
Beijing Auto (BAIC),44.133,310.346,52,0%
Dacia,39.492,393.787,12,8%
Jac,36.486,347.290,49,0%
Tata,35.636,303.539,-0,5%
Mini,35.573,266.886,7,7%
Land Rover,34.156,297.006,-8,3%
Chery,34.126,326.551,-28,1%
Foton,33.639,345.713,38,9%
Seat,33.634,310.958,2,1%
Mahindra,31.401,269.461,-3,4%
BYD,31.098,311.339,-15,7%
Saipa,30.434,214.127,0,0%
